,sl,time,light
0,0,2018-06-18 16:49:48.904299,638.0
1,1,2018-06-18 16:49:49.903334,730.0
2,2,2018-06-18 16:49:50.902395,730.0
3,3,2018-06-18 16:49:51.905590,730.0
4,4,2018-06-18 16:49:52.904675,730.0
5,5,2018-06-18 16:49:53.903831,730.0
6,6,2018-06-18 16:49:54.902910,730.0
7,7,2018-06-18 16:49:55.906192,730.0
8,8,2018-06-18 16:49:56.905350,730.0
9,9,2018-06-18 16:49:57.904552,730.0
10,10,2018-06-18 16:49:58.903725,730.0
11,11,2018-06-18 16:49:59.902924,730.0
12,12,2018-06-18 16:50:00.906212,730.0
13,13,2018-06-18 16:50:01.905425,730.0
14,14,2018-06-18 16:50:02.904667,730.0
15,15,2018-06-18 16:50:03.903875,730.0
16,16,2018-06-18 16:50:04.907229,728.0
17,17,2018-06-18 16:50:05.906465,730.0
18,18,2018-06-18 16:50:06.905717,730.0
19,19,2018-06-18 16:50:07.904978,729.0
20,20,2018-06-18 16:50:08.904228,731.0
21,21,2018-06-18 16:50:09.907621,730.0
22,22,2018-06-18 16:50:10.906893,730.0
23,23,2018-06-18 16:50:11.906171,730.0
24,24,2018-06-18 16:50:12.905405,729.0
25,25,2018-06-18 16:50:13.908789,729.0
26,26,2018-06-18 16:50:14.908130,729.0
27,27,2018-06-18 16:50:15.907468,729.0
28,28,2018-06-18 16:50:16.906709,728.0
29,29,2018-06-18 16:50:17.910130,729.0
30,30,2018-06-18 16:50:18.909437,728.0
31,31,2018-06-18 16:50:19.908749,728.0
32,32,2018-06-18 16:50:20.908057,728.0
33,33,2018-06-18 16:50:21.907365,728.0
34,34,2018-06-18 16:50:22.910799,728.0
35,35,2018-06-18 16:50:23.910119,728.0
36,36,2018-06-18 16:50:24.909437,728.0
37,37,2018-06-18 16:50:25.908759,728.0
38,38,2018-06-18 16:50:26.912163,728.0
39,39,2018-06-18 16:50:27.911233,728.0
40,40,2018-06-18 16:50:28.910336,728.0
41,41,2018-06-18 16:50:29.909438,727.0
42,42,2018-06-18 16:50:30.912716,727.0
43,43,2018-06-18 16:50:31.911845,727.0
44,44,2018-06-18 16:50:32.910965,727.0
45,45,2018-06-18 16:50:33.910102,727.0
46,46,2018-06-18 16:50:34.909232,727.0
47,47,2018-06-18 16:50:35.912499,727.0
48,48,2018-06-18 16:50:36.911654,727.0
49,49,2018-06-18 16:50:37.910806,727.0
50,50,2018-06-18 16:50:38.909965,726.0
51,51,2018-06-18 16:50:39.913228,727.0
52,52,2018-06-18 16:50:40.912396,727.0
53,53,2018-06-18 16:50:41.911574,727.0
54,54,2018-06-18 16:50:42.910755,726.0
55,55,2018-06-18 16:50:43.914056,726.0
56,56,2018-06-18 16:50:44.913252,726.0
57,57,2018-06-18 16:50:45.912443,726.0
58,58,2018-06-18 16:50:46.911599,726.0
59,59,2018-06-18 16:50:47.910818,726.0
60,60,2018-06-18 16:50:48.914138,726.0
61,61,2018-06-18 16:50:49.913376,726.0
62,62,2018-06-18 16:50:50.912559,726.0
63,63,2018-06-18 16:50:51.911776,726.0
64,64,2018-06-18 16:50:52.915162,725.0
65,65,2018-06-18 16:50:53.914303,725.0
66,66,2018-06-18 16:50:54.913564,725.0
67,67,2018-06-18 16:50:55.912788,725.0
68,68,2018-06-18 16:50:56.916139,725.0
69,69,2018-06-18 16:50:57.915366,725.0
70,70,2018-06-18 16:50:58.914572,725.0
71,71,2018-06-18 16:50:59.913804,725.0
72,72,2018-06-18 16:51:00.913047,725.0
73,73,2018-06-18 16:51:01.916385,725.0
74,74,2018-06-18 16:51:02.915634,725.0
75,75,2018-06-18 16:51:03.914881,725.0
76,76,2018-06-18 16:51:04.914182,725.0
77,77,2018-06-18 16:51:05.917508,725.0
78,78,2018-06-18 16:51:06.916812,725.0
79,79,2018-06-18 16:51:07.916071,725.0
80,80,2018-06-18 16:51:08.915339,724.0
81,81,2018-06-18 16:51:09.918683,724.0
