,sl,time,light
0,0,2018-06-18 05:43:28.384786,663.0
1,1,2018-06-18 05:43:29.384090,778.0
2,2,2018-06-18 05:43:30.383398,783.0
3,3,2018-06-18 05:43:31.382717,769.0
4,4,2018-06-18 05:43:32.386115,740.0
5,5,2018-06-18 05:43:33.385436,725.0
6,6,2018-06-18 05:43:34.384755,714.0
7,7,2018-06-18 05:43:35.384075,711.0
8,8,2018-06-18 05:43:36.383358,716.0
9,9,2018-06-18 05:43:37.387218,738.0
10,10,2018-06-18 05:43:38.387409,764.0
11,11,2018-06-18 05:43:39.387631,782.0
12,12,2018-06-18 05:43:40.387717,781.0
13,13,2018-06-18 05:43:41.391960,755.0
14,14,2018-06-18 05:43:42.392066,731.0
15,15,2018-06-18 05:43:43.392138,717.0
16,16,2018-06-18 05:43:44.392156,711.0
17,17,2018-06-18 05:43:45.392229,714.0
18,18,2018-06-18 05:43:46.396353,734.0
19,19,2018-06-18 05:43:47.396388,761.0
20,20,2018-06-18 05:43:48.396348,781.0
21,21,2018-06-18 05:43:49.396308,780.0
22,22,2018-06-18 05:43:50.400386,752.0
23,23,2018-06-18 05:43:51.400324,728.0
24,24,2018-06-18 05:43:52.400248,714.0
25,25,2018-06-18 05:43:53.400153,710.0
26,26,2018-06-18 05:43:54.400051,717.0
27,27,2018-06-18 05:43:55.404042,743.0
28,28,2018-06-18 05:43:56.403911,771.0
29,29,2018-06-18 05:43:57.403764,783.0
30,30,2018-06-18 05:43:58.403594,771.0
31,31,2018-06-18 05:43:59.407519,738.0
32,32,2018-06-18 05:44:00.407340,721.0
33,33,2018-06-18 05:44:01.407142,711.0
34,34,2018-06-18 05:44:02.406927,710.0
35,35,2018-06-18 05:44:03.406708,723.0
36,36,2018-06-18 05:44:04.410600,751.0
37,37,2018-06-18 05:44:05.410371,777.0
38,38,2018-06-18 05:44:06.410119,782.0
39,39,2018-06-18 05:44:07.409854,761.0
40,40,2018-06-18 05:44:08.413679,731.0
41,41,2018-06-18 05:44:09.413400,716.0
42,42,2018-06-18 05:44:10.413120,709.0
43,43,2018-06-18 05:44:11.412875,712.0
44,44,2018-06-18 05:44:12.412519,734.0
45,45,2018-06-18 05:44:13.416328,763.0
46,46,2018-06-18 05:44:14.416010,781.0
47,47,2018-06-18 05:44:15.415689,778.0
48,48,2018-06-18 05:44:16.415353,747.0
49,49,2018-06-18 05:44:17.419110,725.0
50,50,2018-06-18 05:44:18.418721,711.0
51,51,2018-06-18 05:44:19.418438,707.0
52,52,2018-06-18 05:44:20.418053,715.0
53,53,2018-06-18 05:44:21.417684,740.0
54,54,2018-06-18 05:44:22.421438,768.0
55,55,2018-06-18 05:44:23.421059,781.0
56,56,2018-06-18 05:44:24.420678,774.0
57,57,2018-06-18 05:44:25.420291,742.0
58,58,2018-06-18 05:44:26.423994,723.0
59,59,2018-06-18 05:44:27.423599,710.0
60,60,2018-06-18 05:44:28.423216,707.0
61,61,2018-06-18 05:44:29.422793,712.0
62,62,2018-06-18 05:44:30.422371,735.0
63,63,2018-06-18 05:44:31.426073,761.0
64,64,2018-06-18 05:44:32.425653,779.0
65,65,2018-06-18 05:44:33.425229,779.0
66,66,2018-06-18 05:44:34.424796,756.0
67,67,2018-06-18 05:44:35.428460,729.0
68,68,2018-06-18 05:44:36.428019,715.0
69,69,2018-06-18 05:44:37.427585,708.0
70,70,2018-06-18 05:44:38.427139,707.0
71,71,2018-06-18 05:44:39.426691,718.0
72,72,2018-06-18 05:44:40.430354,741.0
73,73,2018-06-18 05:44:41.429912,767.0
74,74,2018-06-18 05:44:42.429451,780.0
75,75,2018-06-18 05:44:43.429041,774.0
76,76,2018-06-18 05:44:44.432618,747.0
77,77,2018-06-18 05:44:45.432148,724.0
78,78,2018-06-18 05:44:46.431687,710.0
79,79,2018-06-18 05:44:47.431225,705.0
80,80,2018-06-18 05:44:48.430734,709.0
81,81,2018-06-18 05:44:49.434378,728.0
82,82,2018-06-18 05:44:50.433855,753.0
83,83,2018-06-18 05:44:51.433451,776.0
84,84,2018-06-18 05:44:52.432912,780.0
85,85,2018-06-18 05:44:53.436504,763.0
86,86,2018-06-18 05:44:54.436052,734.0
87,87,2018-06-18 05:44:55.435563,719.0
88,88,2018-06-18 05:44:56.435075,708.0
89,89,2018-06-18 05:44:57.434576,705.0
90,90,2018-06-18 05:44:58.438174,709.0
91,91,2018-06-18 05:44:59.437706,725.0
92,92,2018-06-18 05:45:00.437189,748.0
93,93,2018-06-18 05:45:01.436678,772.0
94,94,2018-06-18 05:45:02.436199,780.0
95,95,2018-06-18 05:45:03.439786,774.0
96,96,2018-06-18 05:45:04.439285,749.0
97,97,2018-06-18 05:45:05.438778,727.0
98,98,2018-06-18 05:45:06.438264,714.0
99,99,2018-06-18 05:45:07.441847,706.0
100,100,2018-06-18 05:45:08.441334,705.0
101,101,2018-06-18 05:45:09.440830,714.0
102,102,2018-06-18 05:45:10.440307,738.0
103,103,2018-06-18 05:45:11.439791,763.0
104,104,2018-06-18 05:45:12.443395,778.0
105,105,2018-06-18 05:45:13.442874,776.0
106,106,2018-06-18 05:45:14.442362,750.0
107,107,2018-06-18 05:45:15.441835,725.0
108,108,2018-06-18 05:45:16.445412,711.0
109,109,2018-06-18 05:45:17.444885,704.0
110,110,2018-06-18 05:45:18.444364,707.0
