,sl,time,light
0,0,2018-06-17 17:10:18.710397,577.0
1,1,2018-06-17 17:10:19.709754,668.0
2,2,2018-06-17 17:10:20.709110,669.0
3,3,2018-06-17 17:10:21.708456,670.0
4,4,2018-06-17 17:10:22.711934,670.0
5,5,2018-06-17 17:10:23.711285,672.0
6,6,2018-06-17 17:10:24.710638,674.0
7,7,2018-06-17 17:10:25.709993,676.0
8,8,2018-06-17 17:10:26.713434,679.0
9,9,2018-06-17 17:10:27.712795,681.0
10,10,2018-06-17 17:10:28.712153,685.0
11,11,2018-06-17 17:10:29.711507,690.0
12,12,2018-06-17 17:10:30.710855,700.0
13,13,2018-06-17 17:10:31.714320,711.0
14,14,2018-06-17 17:10:32.713680,723.0
15,15,2018-06-17 17:10:33.713037,734.0
16,16,2018-06-17 17:10:34.712416,741.0
17,17,2018-06-17 17:10:35.715828,740.0
18,18,2018-06-17 17:10:36.715191,739.0
19,19,2018-06-17 17:10:37.714538,737.0
20,20,2018-06-17 17:10:38.713899,728.0
21,21,2018-06-17 17:10:39.717412,715.0
22,22,2018-06-17 17:10:40.716725,703.0
23,23,2018-06-17 17:10:41.716062,692.0
24,24,2018-06-17 17:10:42.715423,681.0
25,25,2018-06-17 17:10:43.718873,672.0
26,26,2018-06-17 17:10:44.718223,668.0
27,27,2018-06-17 17:10:45.717585,663.0
28,28,2018-06-17 17:10:46.716927,659.0
29,29,2018-06-17 17:10:47.716254,658.0
30,30,2018-06-17 17:10:48.719757,656.0
31,31,2018-06-17 17:10:49.719116,658.0
32,32,2018-06-17 17:10:50.718474,662.0
33,33,2018-06-17 17:10:51.717764,668.0
34,34,2018-06-17 17:10:52.721266,674.0
35,35,2018-06-17 17:10:53.720629,681.0
36,36,2018-06-17 17:10:54.719981,691.0
37,37,2018-06-17 17:10:55.719336,704.0
38,38,2018-06-17 17:10:56.722799,718.0
39,39,2018-06-17 17:10:57.722167,729.0
40,40,2018-06-17 17:10:58.721516,737.0
41,41,2018-06-17 17:10:59.720870,738.0
42,42,2018-06-17 17:11:00.720224,738.0
43,43,2018-06-17 17:11:01.723663,737.0
44,44,2018-06-17 17:11:02.723055,735.0
45,45,2018-06-17 17:11:03.722342,731.0
46,46,2018-06-17 17:11:04.721720,725.0
47,47,2018-06-17 17:11:05.725197,717.0
